put,4,2,0,0,0,1,1,0,1,0,0,0,0,0
hand,4,0,0,0,0,1,0,0,1,1,0,0,1,0
warm,1,0,0,0,0,0,0,0,1,0,0,0,0,0
bowl,1,0,0,0,0,0,0,0,1,0,0,0,0,0
water,5,0,0,0,1,0,0,0,1,0,2,0,1,0
get,25,0,1,0,1,1,3,4,6,3,5,0,1,0
ass,2,1,0,0,0,0,0,0,1,0,0,0,0,0
vibe,2,0,0,0,0,1,0,0,0,0,0,0,1,0
next,6,0,1,0,1,0,0,1,0,0,1,0,2,0
day,31,0,2,0,6,3,3,2,5,3,2,1,2,1
worth,1,0,0,0,0,0,0,0,0,0,0,0,1,0
everi,2,0,0,0,0,0,0,1,0,0,0,0,1,0
hour,4,0,0,0,1,0,0,1,0,0,1,0,1,0
took,6,0,0,0,2,1,1,1,0,0,0,0,1,0
later,2,0,0,0,1,0,0,0,0,0,0,1,0,0
hello,2,0,1,0,0,0,0,0,0,0,0,1,0,0
final,8,1,2,0,1,0,1,0,1,1,1,0,0,0
make,8,1,0,0,0,2,0,1,0,0,3,0,1,0
nice,9,1,0,0,4,0,2,1,0,0,0,0,1,0
comfort,2,1,0,0,1,0,0,0,0,0,0,0,0,0
delay,1,1,0,0,0,0,0,0,0,0,0,0,0,0
thank,18,0,2,0,1,2,1,1,2,2,5,0,1,1
go,30,1,1,0,5,2,1,7,3,0,6,1,2,1
shade,1,1,0,0,0,0,0,0,0,0,0,0,0,0
back,17,1,1,0,0,1,2,2,3,1,4,1,1,0
move,5,1,1,0,0,0,0,1,0,0,1,0,1,0
thing,12,1,1,0,0,2,0,2,2,2,2,0,0,0
super,2,0,0,0,1,1,0,0,1,0,0,0,0,0
energ,1,0,0,0,1,0,0,0,1,0,0,0,0,0
net,1,0,0,0,1,0,0,0,1,0,0,0,0,0
flight,3,0,0,0,2,0,0,1,1,0,0,0,0,0
tell,1,0,0,0,1,0,0,0,1,0,0,0,0,0
layov,1,0,0,0,0,0,0,0,0,0,1,0,0,0
nap,1,0,0,0,0,0,0,0,0,0,1,0,0,0
time,35,1,3,1,4,3,4,1,9,2,7,0,1,0
head,11,1,1,0,1,1,1,1,0,1,1,2,0,1
south,4,0,0,0,1,1,0,1,0,0,1,0,0,0
lax,2,0,0,0,0,1,0,0,0,0,1,0,0,0
think,11,1,1,1,0,0,2,3,2,2,0,0,1,0
grow,1,0,0,1,0,0,0,0,0,0,0,0,0,0
real,5,0,0,1,1,1,0,0,2,0,1,0,0,0
one,22,0,2,1,1,1,1,1,3,3,6,0,2,0
thought,2,0,0,1,0,0,0,1,0,0,0,0,0,0
good,32,1,0,1,1,2,4,3,7,4,4,1,2,1
last,13,0,1,1,3,0,0,2,1,2,3,0,0,0
night,19,1,2,1,1,0,0,2,7,1,4,0,2,0
found,4,0,0,0,0,1,0,2,1,0,0,0,0,0
new,9,0,0,0,0,2,0,3,2,1,1,0,0,0
friend,2,0,0,0,0,1,0,1,0,0,0,0,0,0
wait,6,0,1,0,2,0,0,0,1,1,1,0,0,0
feder,1,0,0,0,1,0,0,0,0,0,0,0,0,0
build,2,0,0,0,1,0,1,0,0,0,0,0,0,0
like,14,1,1,0,0,0,1,3,1,2,4,0,1,0
play,9,0,0,0,0,2,1,1,2,0,2,0,1,0
ear,1,0,0,0,0,0,0,0,1,0,0,0,0,0
rephras,1,0,0,0,0,0,0,0,0,0,1,0,0,0
man,21,0,1,0,3,3,1,2,3,1,5,0,1,1
anybodi,9,0,2,0,0,0,1,4,0,0,1,1,0,0
wan,1,0,1,0,0,0,0,0,0,0,0,0,0,0
swim,2,0,1,0,0,0,1,0,0,0,0,0,0,0
year,5,0,0,0,1,1,0,1,0,0,2,0,0,0
come,14,0,1,0,3,2,1,1,1,1,4,0,0,0
love,21,1,1,0,4,2,0,6,2,2,2,0,1,0
brother,11,1,0,0,1,1,1,1,1,1,4,0,1,0
sister,7,0,1,0,1,2,0,1,0,0,2,0,0,0
famili,4,0,0,0,1,0,0,1,1,0,1,0,0,0
import,1,0,0,0,0,0,0,0,0,0,1,0,0,0
hous,1,0,0,0,0,0,0,0,0,0,0,0,1,0
know,9,1,1,0,0,0,1,1,0,2,0,1,2,0
rough,1,0,0,0,0,0,0,0,0,0,0,0,1,0
merri,1,0,0,0,0,0,0,0,0,0,0,0,1,0
happi,10,0,0,0,1,0,1,2,3,1,0,0,2,0
eve,1,0,0,0,1,0,0,0,0,0,0,0,0,0
better,5,0,0,0,0,0,1,1,1,0,1,0,1,0
place,5,0,0,0,0,0,1,1,1,1,1,0,0,0
sunris,2,0,0,0,0,0,0,1,0,0,1,0,0,0
sea,4,0,0,0,1,0,0,1,0,1,1,0,0,0
